appid,name,release_date,required_age,price,dlc_count,header_image,windows,mac,linux,metacritic_score,recommendations,supported_languages,full_audio_languages,publishers,positive,negative,average_playtime_forever,median_playtime_forever,discount,peak_ccu,pct_pos_total,num_reviews_total,tags_sep,publisher
2511050,Brazen Blaze -3vs3 Brawl Arena-,2024-07-18,0.0,14.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2511050/header.jpg?t=1738746841,True,False,False,0,0,"['English', 'Japanese', 'French', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'German']","['English', 'Japanese', 'German']",['MyDearest Inc.'],64,13,0,0,0,1,81.0,69.0,"['VR', 'Arena Shooter', 'Hero Shooter', 'FPS', 'Parkour', 'PvP', 'Shooter', '3D Fighter', 'e-sports', 'Character Customization', '3D', 'First-Person', 'Team-Based', 'Action', 'Sci-fi', 'Destruction', 'Combat', 'Multiplayer', 'Online Co-Op', 'Fast-Paced']",MyDearest Inc.
2387410,Aleph,2024-06-25,0.0,2.99,1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2387410/header.jpg?t=1730789675,True,True,False,0,0,"['English', 'Simplified Chinese']","['English', 'Simplified Chinese']","['Haoge Liu', 'Tan Tan']",70,2,0,0,0,0,98.0,68.0,"['Exploration', 'Short', 'Collectathon', 'Hidden Object', 'Walking Simulator', 'Adventure', 'Casual', 'Abstract', 'Dungeon Crawler', 'Post-apocalyptic', 'Atmospheric', 'Space', 'Time Travel', 'Surreal', 'Relaxing', 'Experimental', 'Text-Based', 'First-Person', 'Indie', 'Singleplayer']",Haoge Liu
2541890,Abnormality,2024-10-28,0.0,9.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2541890/header.jpg?t=1730417281,True,False,False,0,0,['English'],['English'],['Nightmare Studios'],70,24,0,0,0,0,70.0,68.0,"['Early Access', 'Horror', 'Multiplayer', 'Psychological Horror', 'Supernatural', 'Exploration', 'First-Person', 'Co-op', 'Immersive Sim', 'Investigation', 'Puzzle', 'Atmospheric', 'Demons', 'Mystery', 'Tutorial', '3D', 'Detective', 'Conversation', 'Action', 'Thriller']",Nightmare Studios
2878270,Metal: Hellsinger VR,2024-10-03,0.0,29.99,3,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2878270/header.jpg?t=1740649797,True,False,False,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Ukrainian']","['English', 'Ukrainian']",['Funcom'],60,17,0,0,0,1,77.0,68.0,"['FPS', 'Rhythm', 'VR', 'Demons', 'Action-Adventure', 'Shooter', 'Score Attack', 'Female Protagonist', 'Singleplayer', 'First-Person', 'Action', 'Narration', '3D', 'Dark', 'Dark Fantasy', 'Fantasy', 'Adventure', 'Atmospheric', 'Cinematic', 'Combat']",Funcom
2888870,Dadish 3D,2024-04-22,0.0,14.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2888870/header.jpg?t=1713787843,True,False,False,0,0,['English'],['English'],['Thomas K. Young'],66,8,0,0,0,1,89.0,68.0,"['3D Platformer', 'Puzzle-Platformer', 'Platformer', '3D', 'Cute', 'Third Person', 'Action', 'Funny', 'Controller', 'Cartoony', 'Colorful', 'Pixel Graphics', 'Adventure', 'Stylized', 'Cartoon', ""1990's"", 'Retro', 'Singleplayer', 'Indie']",Thomas K. Young
2235820,Jack Holmes : Master of Puppets,2024-04-26,0.0,8.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2235820/header.jpg?t=1733361588,True,False,False,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Norwegian', 'Portuguese - Portugal', 'Russian', 'Swedish', 'Simplified Chinese']","['English', 'Simplified Chinese']",['indie.io'],103,20,0,0,40,0,80.0,68.0,"['Horror', 'Survival Horror', 'First-Person', 'Singleplayer', 'Atmospheric', 'Gore', 'Shooter', 'FPS', 'Psychological Horror', 'Action', 'Action-Adventure', 'Colorful', 'Combat', 'Cartoony', 'Robots', 'Story Rich', 'Linear', 'Thriller', 'Dark', 'Supernatural']",indie.io
2351890,BloodDome99,2024-11-15,0.0,3.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2351890/header.jpg?t=1735622326,True,True,False,0,0,['English'],['English'],['Halftone Gaming'],84,2,0,0,20,1,97.0,68.0,"['Action Roguelike', 'Bullet Hell', 'Pixel Graphics', '1980s', 'Rogue-lite', 'Top-Down Shooter', 'Rogue-like', 'Twin Stick Shooter', 'Cyberpunk', '2D', 'Arcade', 'Action', 'Singleplayer', 'Shooter', ""Shoot 'Em Up"", 'Retro', 'Arena Shooter', 'Capitalism', 'Casual', 'Perma Death']",Halftone Gaming
1389900,大鹏 - The Roc,2024-11-14,0.0,3.74,2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1389900/header.jpg?t=1733659521,True,False,False,0,0,['Simplified Chinese'],['Simplified Chinese'],['LoveStoryProject'],95,7,0,0,25,3,91.0,68.0,"['Dating Sim', 'Visual Novel', 'Story Rich', 'Multiple Endings', 'Adventure', 'Anime', 'Singleplayer', 'Word Game', 'Interactive Fiction', 'Modern', 'Drama', 'Indie', '2D Platformer', 'Casual', 'RPG', 'Text-Based', 'Foreign']",LoveStoryProject
2836820,Baby Blues Nightmares - Toddler Horror Game,2024-09-16,0.0,12.99,0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2836820/header.jpg?t=1730382830,True,False,False,0,0,['English'],['English'],['Steelkrill Studio'],134,11,0,0,0,0,89.0,68.0,"['Horror', 'Adventure', 'Cartoony', 'Singleplayer', 'Action', 'First-Person', 'Simulation', 'Multiplayer', 'Psychological Horror', 'Action-Adventure', 'Arcade', 'Puzzle', 'Sandbox', 'Walking Simulator', 'Bullet Hell', 'Choose Your Own Adventure', 'FPS', 'Immersive Sim', 'Outbreak Sim', 'Puzzle-Platformer']",Steelkrill Studio
1959580,Supermoves: World of Parkour,2024-08-28,0.0,7.99,2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1959580/header.jpg?t=1737469662,True,False,False,0,0,"['English', 'Finnish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese']","['English', 'Traditional Chinese']",['Makea Games'],69,12,296,296,0,1,85.0,67.0,"['Action', 'Parkour', 'Multiplayer', '3D Platformer', 'First-Person', 'Racing', 'Runner', 'Singleplayer', 'Platformer', 'Level Editor', 'Collectathon', 'Sports', 'Sandbox', 'PvP', 'Battle Royale', 'Arcade', 'e-sports', 'Character Customization', '3D', 'Party']",Makea Games
